,continent,population,head_of_state
217,Asia,22256000,Chen Shui-bian
218,Africa,33517000,Benjamin William Mkapa
219,Africa,21778000,Yoweri Museveni
220,Europe,50456000,Leonid KutSma
221,Oceania,0,George W. Bush
222,South America,3337000,Jorge Batlle Ibanez
223,North America,278357000,George W. Bush
224,Asia,24318000,Islam Karimov
225,Europe,1000,Johannes Paavali II
226,North America,114000,Elisabeth II
227,South America,24170000,Hugo Chavez FrIas
228,North America,21000,Elisabeth II
229,North America,93000,George W. Bush
230,Asia,79832000,Tran Duc Luong
231,Oceania,190000,John Bani
232,Oceania,15000,Jacques Chirac
233,Oceania,180000,Malietoa Tanumafili II
234,Asia,18112000,Ali Abdallah Salih
235,Europe,10640000,Vojislav KoStunica
236,Africa,40377000,Thabo Mbeki
237,Africa,9169000,Frederick Chiluba
238,Africa,11669000,Robert G. Mugabe
